tax_id,plot_id,registered_area_sqm,tax_status,last_assessment_date
TAX-OD-0001,1,37112.21,Pending,2026-01-07
TAX-OD-0002,2,41226.5,Pending,2026-04-04
TAX-OD-0003,3,32671.37,Paid,2026-05-27
TAX-OD-0004,4,27314.96,Pending,2026-07-16
TAX-OD-0005,5,31548.37,Paid,2026-07-18
TAX-OD-0006,6,70754.67,Paid,2026-08-12
TAX-OD-0007,7,15518.72,Paid,2026-04-06
TAX-OD-0008,8,12309.69,Paid,2026-02-02
TAX-OD-0009,9,52072.76,Defaulter,2026-02-28
TAX-OD-0010,10,31217.29,Pending,2026-08-21
TAX-OD-0011,11,27692.34,Pending,2026-06-15
TAX-OD-0012,12,33994.33,Paid,2026-07-04
TAX-OD-0013,13,24125.1,Pending,2026-02-11
TAX-OD-0014,14,19600.19,Paid,2026-05-22
TAX-OD-0015,15,36615.9,Paid,2026-01-07
TAX-OD-0016,16,22151.3,Paid,2026-07-12
TAX-OD-0017,17,24380.43,Paid,2026-04-18
TAX-OD-0018,18,25362.82,Paid,2026-03-04
TAX-OD-0019,19,35267.54,Paid,2026-02-03
TAX-OD-0020,20,17221.11,Paid,2026-07-02
TAX-OD-0021,21,23603.22,Pending,2026-02-28
TAX-OD-0022,22,7890.84,Paid,2026-06-27
TAX-OD-0023,23,23432.95,Paid,2026-01-08
TAX-OD-0024,24,27194.55,Paid,2026-01-28
TAX-OD-0025,25,17806.31,Paid,2026-07-13
TAX-OD-0026,26,18817.82,Paid,2026-05-10
TAX-OD-0027,27,30978.53,Paid,2026-08-22
TAX-OD-0028,28,30520.1,Pending,2026-02-08
TAX-OD-0029,29,21166.57,Paid,2026-08-09
TAX-OD-0030,30,35045.75,Pending,2026-01-11
TAX-OD-0031,31,21318.09,Paid,2026-01-10
TAX-OD-0032,32,13245.55,Paid,2026-07-04
TAX-OD-0033,33,6225.28,Paid,2026-02-17
TAX-OD-0034,34,23004.65,Paid,2026-08-07
TAX-OD-0035,35,8354.46,Defaulter,2026-04-15
TAX-OD-0036,36,30331.24,Pending,2026-01-28
TAX-OD-0037,37,21109.08,Paid,2026-01-28
TAX-OD-0038,38,14148.19,Paid,2026-04-22
TAX-OD-0039,39,18158.66,Paid,2026-08-28
TAX-OD-0040,40,27673.18,Pending,2026-08-03
TAX-OD-0041,41,10524.47,Paid,2026-04-21
TAX-OD-0042,42,4202.26,Paid,2026-08-27
TAX-OD-0043,43,6073.22,Paid,2026-08-01
TAX-OD-0044,44,60840.2,Paid,2026-06-17
TAX-OD-0045,45,8398.53,Pending,2026-06-23
TAX-OD-0046,46,10689.68,Paid,2026-06-23
TAX-OD-0047,47,55666.3,Paid,2026-01-13
TAX-OD-0048,48,16051.04,Paid,2026-06-27
TAX-OD-0049,49,26129.46,Paid,2026-06-18
TAX-OD-0050,50,14581.98,Pending,2026-04-10
TAX-OD-0051,51,3178.45,Paid,2026-06-15
TAX-OD-0052,52,12214.09,Pending,2026-06-17
TAX-OD-0053,53,37819.51,Paid,2026-08-18
TAX-OD-0054,54,35121.99,Paid,2026-02-13
TAX-OD-0055,55,9162.66,Paid,2026-02-06
TAX-OD-0056,56,28038.83,Pending,2026-07-21
TAX-OD-0057,57,22143.88,Defaulter,2026-07-13
TAX-OD-0058,58,15234.15,Defaulter,2026-03-04
TAX-OD-0059,59,17899.81,Pending,2026-03-06
TAX-OD-0060,60,25246.06,Paid,2026-06-26
TAX-OD-0061,61,45197.67,Paid,2026-08-12
TAX-OD-0062,62,20849.21,Paid,2026-02-01
TAX-OD-0063,63,16031.73,Paid,2026-05-05
TAX-OD-0064,64,39147.49,Paid,2026-03-24
TAX-OD-0065,65,25335.17,Paid,2026-01-02
TAX-OD-0066,66,21477.43,Paid,2026-02-22
TAX-OD-0067,67,18973.75,Paid,2026-01-19
TAX-OD-0068,68,17512.13,Paid,2026-08-28
TAX-OD-0069,69,21586.34,Paid,2026-02-08
TAX-OD-0070,70,31579.83,Pending,2026-02-03
TAX-OD-0071,71,18098.78,Pending,2026-07-12
TAX-OD-0072,72,26342.38,Paid,2026-01-19
TAX-OD-0073,73,39606.76,Paid,2026-06-20
TAX-OD-0074,74,22159.05,Pending,2026-03-28
TAX-OD-0075,75,26253.73,Pending,2026-03-13
TAX-OD-0076,76,30583.36,Defaulter,2026-07-20
TAX-OD-0077,77,27178.15,Paid,2026-04-20
TAX-OD-0078,78,51952.48,Paid,2026-02-03
TAX-OD-0079,79,27539.25,Pending,2026-01-16
TAX-OD-0080,80,25749.99,Paid,2026-06-03
TAX-OD-0081,81,21637.19,Paid,2026-07-08
TAX-OD-0082,82,33917.35,Paid,2026-01-01
TAX-OD-0083,83,23301.48,Paid,2026-04-14
TAX-OD-0084,84,59403.74,Pending,2026-04-05
TAX-OD-0085,85,49627.98,Paid,2026-01-13
TAX-OD-0086,86,22767.5,Pending,2026-06-01
TAX-OD-0087,87,16487.49,Paid,2026-02-13
TAX-OD-0088,88,16058.84,Paid,2026-05-23
TAX-OD-0089,89,26585.0,Paid,2026-03-17
TAX-OD-0090,90,31765.57,Paid,2026-08-10
TAX-OD-0091,91,20506.14,Paid,2026-08-09
TAX-OD-0092,92,31547.88,Paid,2026-05-27
TAX-OD-0093,93,17633.24,Paid,2026-07-22
TAX-OD-0094,94,12806.65,Pending,2026-04-04
TAX-OD-0095,95,17534.09,Paid,2026-02-08
TAX-OD-0096,96,25038.69,Paid,2026-06-11
TAX-OD-0097,97,33350.63,Paid,2026-01-20
TAX-OD-0098,98,58285.3,Paid,2026-06-04
TAX-OD-0099,99,33793.74,Paid,2026-08-17
